5.79E-02,2.00E-02,6.06E-01,2.50E-03,1.37E+02,2.34E-03
2.66E-02,4.00E-02,-8.67E-01,1.90E-03,1.10E+02,2.68E-03
8.74E-02,1.20E-02,-8.67E-01,4.00E-03,6.90E+01,1.85E-03
1.57E-02,2.40E-02,8.40E-02,3.70E-03,1.50E+01,1.92E-03
5.81E-02,2.00E-02,-6.93E-01,3.10E-03,9.60E+01,2.10E-03
1.22E-02,4.00E-02,-1.98E-01,2.50E-03,2.85E+01,2.34E-03
2.79E-02,2.40E-02,-1.98E-01,1.60E-03,5.55E+01,2.92E-03
1.46E-01,4.00E-03,8.04E-01,3.40E-03,6.90E+01,2.01E-03
3.01E-02,3.20E-02,8.04E-01,2.20E-03,1.23E+02,2.49E-03
3.45E-02,3.20E-02,9.38E-01,2.80E-03,1.37E+02,2.21E-03
7.83E-02,1.20E-02,9.38E-01,1.90E-03,1.23E+02,2.68E-03
7.66E-02,2.00E-02,3.59E-01,4.00E-03,1.50E+02,1.85E-03
6.85E-02,8.00E-03,-8.67E-01,3.40E-03,2.85E+01,2.01E-03
1.11E-01,8.00E-03,-6.93E-01,2.50E-03,8.25E+01,2.34E-03
2.41E-02,3.20E-02,6.06E-01,3.70E-03,6.90E+01,1.92E-03
2.87E-02,1.60E-02,-6.93E-01,1.00E-03,1.50E+01,3.70E-03
5.14E-02,1.60E-02,-9.72E-01,4.00E-03,4.20E+01,1.85E-03
3.55E-02,3.20E-02,-9.99E-01,4.00E-03,6.90E+01,1.85E-03
2.02E-02,3.20E-02,-9.99E-01,2.50E-03,2.85E+01,2.34E-03
1.23E-01,4.00E-03,-9.99E-01,4.00E-03,2.85E+01,1.85E-03
2.45E-02,2.80E-02,9.38E-01,2.20E-03,6.90E+01,2.49E-03
4.55E-02,2.00E-02,-6.93E-01,2.80E-03,6.90E+01,2.21E-03
4.11E-02,2.00E-02,9.38E-01,4.00E-03,6.90E+01,1.85E-03
2.13E-02,3.20E-02,3.59E-01,3.70E-03,5.55E+01,1.92E-03
2.74E-02,2.40E-02,9.38E-01,3.10E-03,5.55E+01,2.10E-03
4.74E-02,1.60E-02,-9.99E-01,1.90E-03,4.20E+01,2.68E-03
5.91E-02,1.60E-02,8.04E-01,2.20E-03,1.10E+02,2.49E-03
6.50E-02,8.00E-03,-9.72E-01,1.90E-03,2.85E+01,2.68E-03
3.21E-02,2.40E-02,8.04E-01,1.30E-03,9.60E+01,3.24E-03
1.20E-01,8.00E-03,-8.67E-01,2.80E-03,8.25E+01,2.21E-03
9.31E-02,1.20E-02,-9.99E-01,3.40E-03,6.90E+01,2.01E-03
3.38E-01,0.00E+00,-1.98E-01,1.90E-03,1.37E+02,2.68E-03
1.53E-02,3.20E-02,8.40E-02,1.90E-03,2.85E+01,2.68E-03
3.95E-02,3.20E-02,6.06E-01,3.70E-03,1.37E+02,1.92E-03
3.72E-02,2.40E-02,-1.98E-01,2.50E-03,8.25E+01,2.34E-03
2.62E-02,3.20E-02,6.06E-01,2.20E-03,9.60E+01,2.49E-03
1.69E-02,2.80E-02,-9.72E-01,3.10E-03,1.50E+01,2.10E-03
2.02E-02,2.80E-02,8.04E-01,3.40E-03,4.20E+01,2.01E-03
2.09E-02,4.00E-02,-9.72E-01,3.10E-03,5.55E+01,2.10E-03
3.99E-01,0.00E+00,8.40E-02,2.80E-03,1.37E+02,2.21E-03
7.69E-02,1.20E-02,3.59E-01,1.30E-03,1.37E+02,3.24E-03
1.44E-01,8.00E-03,8.40E-02,3.40E-03,1.23E+02,2.01E-03
1.58E-02,3.20E-02,-8.67E-01,1.30E-03,1.50E+01,3.24E-03
1.09E-01,1.20E-02,-9.99E-01,1.60E-03,1.37E+02,2.92E-03
1.79E-01,4.00E-03,-9.72E-01,1.30E-03,1.23E+02,3.24E-03
6.10E-02,2.40E-02,-9.72E-01,3.40E-03,1.10E+02,2.01E-03
8.92E-02,1.60E-02,-9.99E-01,3.40E-03,9.60E+01,2.01E-03
2.87E-02,4.00E-02,-1.98E-01,4.00E-03,1.10E+02,1.85E-03
2.10E-01,0.00E+00,-9.72E-01,3.40E-03,2.85E+01,2.01E-03
5.03E-02,2.00E-02,9.38E-01,2.80E-03,1.10E+02,2.21E-03
4.02E-02,2.80E-02,-6.93E-01,3.10E-03,9.60E+01,2.10E-03
3.97E-02,8.00E-03,3.59E-01,1.90E-03,1.50E+01,2.68E-03
3.67E-02,3.20E-02,-9.72E-01,1.90E-03,1.10E+02,2.68E-03
1.55E-01,4.00E-03,9.38E-01,3.10E-03,8.25E+01,2.10E-03
2.92E-02,3.20E-02,-4.64E-01,1.00E-03,1.23E+02,3.70E-03
4.40E-02,2.00E-02,-4.64E-01,1.30E-03,9.60E+01,3.24E-03
2.45E-01,0.00E+00,-1.98E-01,2.80E-03,5.55E+01,2.21E-03
1.10E-02,3.20E-02,9.38E-01,2.80E-03,1.50E+01,2.21E-03
2.31E-02,3.60E-02,9.38E-01,1.30E-03,1.23E+02,3.24E-03
4.18E-02,1.60E-02,-9.99E-01,3.10E-03,2.85E+01,2.10E-03
7.06E-02,1.60E-02,8.04E-01,3.70E-03,1.10E+02,1.92E-03
2.33E-01,4.00E-03,-9.72E-01,1.90E-03,1.50E+02,2.68E-03
1.56E-01,0.00E+00,8.40E-02,1.00E-03,5.55E+01,3.70E-03
1.58E-01,8.00E-03,8.40E-02,3.10E-03,1.50E+02,2.10E-03
5.45E-02,1.20E-02,6.06E-01,1.00E-03,8.25E+01,3.70E-03
3.98E-02,1.60E-02,8.04E-01,2.20E-03,5.55E+01,2.49E-03
2.98E-01,0.00E+00,8.04E-01,1.90E-03,1.23E+02,2.68E-03
1.93E-01,0.00E+00,3.59E-01,2.50E-03,4.20E+01,2.34E-03
1.37E-01,8.00E-03,-6.93E-01,2.80E-03,1.10E+02,2.21E-03
2.24E-02,4.00E-02,6.06E-01,1.00E-03,1.50E+02,3.70E-03
1.28E-01,8.00E-03,-9.72E-01,4.00E-03,6.90E+01,1.85E-03
2.31E-02,2.40E-02,9.38E-01,2.80E-03,4.20E+01,2.21E-03
9.36E-02,8.00E-03,8.04E-01,1.00E-03,1.37E+02,3.70E-03
1.88E-01,4.00E-03,-1.98E-01,1.60E-03,1.50E+02,2.92E-03
1.04E-02,4.00E-02,8.04E-01,1.30E-03,1.50E+01,3.24E-03
2.95E-02,2.80E-02,-1.98E-01,3.10E-03,6.90E+01,2.10E-03
6.76E-02,1.20E-02,-4.64E-01,3.70E-03,5.55E+01,1.92E-03
5.03E-02,2.00E-02,9.38E-01,2.20E-03,1.23E+02,2.49E-03
1.67E-02,4.00E-02,-8.67E-01,2.80E-03,4.20E+01,2.21E-03
8.28E-02,1.20E-02,9.38E-01,2.80E-03,1.10E+02,2.21E-03
2.46E-02,4.00E-02,-9.72E-01,1.30E-03,9.60E+01,3.24E-03
6.87E-02,8.00E-03,-6.93E-01,1.60E-03,4.20E+01,2.92E-03
8.54E-02,1.20E-02,-9.72E-01,1.30E-03,1.10E+02,3.24E-03
4.83E-02,3.20E-02,-8.67E-01,4.00E-03,1.23E+02,1.85E-03
1.20E-01,0.00E+00,6.06E-01,3.40E-03,1.50E+01,2.01E-03
5.65E-02,1.60E-02,-8.67E-01,3.70E-03,5.55E+01,1.92E-03
2.21E-02,4.00E-02,-1.98E-01,3.40E-03,8.25E+01,2.01E-03
4.02E-02,2.40E-02,-1.98E-01,1.30E-03,1.23E+02,3.24E-03
1.79E-01,4.00E-03,8.04E-01,3.40E-03,9.60E+01,2.01E-03
5.24E-01,0.00E+00,-9.99E-01,3.40E-03,1.37E+02,2.01E-03
4.33E-02,4.00E-02,-8.67E-01,4.00E-03,1.50E+02,1.85E-03
9.46E-02,4.00E-03,3.59E-01,1.90E-03,4.20E+01,2.68E-03
2.10E-02,3.20E-02,-8.67E-01,1.30E-03,4.20E+01,3.24E-03
5.36E-02,2.00E-02,-9.72E-01,3.40E-03,6.90E+01,2.01E-03
1.34E-01,4.00E-03,-6.93E-01,2.50E-03,5.55E+01,2.34E-03
4.82E-02,1.20E-02,-6.93E-01,4.00E-03,2.85E+01,1.85E-03
2.64E-02,1.60E-02,-6.93E-01,4.00E-03,1.50E+01,1.85E-03
3.74E-02,4.00E-02,-8.67E-01,3.40E-03,1.37E+02,2.01E-03
3.59E-02,1.60E-02,8.04E-01,1.00E-03,5.55E+01,3.70E-03
1.13E-01,1.20E-02,6.06E-01,4.00E-03,1.37E+02,1.85E-03
2.94E-02,1.60E-02,-9.72E-01,1.90E-03,1.50E+01,2.68E-03
2.41E-02,4.00E-02,6.06E-01,1.90E-03,1.37E+02,2.68E-03
3.42E-02,1.20E-02,-6.93E-01,4.00E-03,1.50E+01,1.85E-03
2.19E-01,0.00E+00,-9.72E-01,1.60E-03,5.55E+01,2.92E-03
2.88E-02,4.00E-02,-9.72E-01,2.80E-03,9.60E+01,2.21E-03
2.59E-02,2.80E-02,8.40E-02,3.70E-03,5.55E+01,1.92E-03
1.31E-02,4.00E-02,9.38E-01,3.40E-03,4.20E+01,2.01E-03
2.64E-02,2.80E-02,3.59E-01,2.50E-03,6.90E+01,2.34E-03
4.55E-01,0.00E+00,-9.99E-01,2.50E-03,1.37E+02,2.34E-03
1.09E-01,1.20E-02,6.06E-01,3.10E-03,1.50E+02,2.10E-03
3.37E-02,3.60E-02,8.04E-01,3.10E-03,1.50E+02,2.10E-03
2.42E-01,0.00E+00,-8.67E-01,2.20E-03,5.55E+01,2.49E-03
3.86E-02,1.60E-02,-4.64E-01,1.90E-03,4.20E+01,2.68E-03
5.08E-02,8.00E-03,-9.72E-01,2.80E-03,1.50E+01,2.21E-03
1.64E-01,8.00E-03,8.40E-02,4.00E-03,1.37E+02,1.85E-03
3.03E-02,2.40E-02,8.40E-02,3.40E-03,5.55E+01,2.01E-03
7.86E-02,2.00E-02,-8.67E-01,3.10E-03,1.37E+02,2.10E-03
6.67E-02,8.00E-03,6.06E-01,2.80E-03,4.20E+01,2.21E-03
7.77E-02,4.00E-03,-9.99E-01,2.20E-03,1.50E+01,2.49E-03
1.89E-02,4.00E-02,8.40E-02,1.90E-03,8.25E+01,2.68E-03
2.51E-01,4.00E-03,-8.67E-01,4.00E-03,1.10E+02,1.85E-03
1.79E-01,0.00E+00,-8.67E-01,2.50E-03,2.85E+01,2.34E-03
1.48E-02,4.00E-02,8.04E-01,1.00E-03,5.55E+01,3.70E-03
2.33E-02,2.40E-02,9.38E-01,3.10E-03,4.20E+01,2.10E-03
4.76E-02,1.60E-02,-9.72E-01,2.80E-03,4.20E+01,2.21E-03
1.17E-01,4.00E-03,8.40E-02,2.20E-03,5.55E+01,2.49E-03
2.05E-02,4.00E-02,9.38E-01,1.30E-03,1.23E+02,3.24E-03
2.08E-02,3.20E-02,-1.98E-01,1.90E-03,5.55E+01,2.68E-03
3.97E-02,2.40E-02,-9.99E-01,1.60E-03,6.90E+01,2.92E-03
6.18E-02,1.60E-02,6.06E-01,1.90E-03,1.23E+02,2.68E-03
1.99E-02,3.60E-02,-8.67E-01,4.00E-03,4.20E+01,1.85E-03
2.14E-01,0.00E+00,8.04E-01,1.90E-03,6.90E+01,2.68E-03
1.77E-02,4.00E-02,9.38E-01,3.70E-03,6.90E+01,1.92E-03
5.19E-02,1.20E-02,8.04E-01,2.20E-03,5.55E+01,2.49E-03
5.38E-02,8.00E-03,-9.99E-01,2.80E-03,1.50E+01,2.21E-03
2.69E-02,3.20E-02,-9.99E-01,1.90E-03,5.55E+01,2.68E-03
9.23E-02,1.20E-02,-8.67E-01,2.50E-03,9.60E+01,2.34E-03
8.16E-02,1.20E-02,-9.99E-01,2.20E-03,6.90E+01,2.49E-03
3.46E-02,3.20E-02,-4.64E-01,3.70E-03,9.60E+01,1.92E-03
1.21E-02,3.60E-02,-8.67E-01,3.70E-03,1.50E+01,1.92E-03
2.86E-01,0.00E+00,3.59E-01,1.90E-03,1.10E+02,2.68E-03
1.57E-01,0.00E+00,-6.93E-01,1.90E-03,2.85E+01,2.68E-03
3.31E-02,3.60E-02,6.06E-01,2.80E-03,1.50E+02,2.21E-03
2.15E-01,0.00E+00,8.40E-02,1.00E-03,1.10E+02,3.70E-03
8.08E-02,1.20E-02,6.06E-01,1.60E-03,1.37E+02,2.92E-03
1.38E-01,8.00E-03,-4.64E-01,4.00E-03,9.60E+01,1.85E-03
1.37E-01,8.00E-03,-1.98E-01,2.80E-03,1.23E+02,2.21E-03
3.16E-02,2.00E-02,3.59E-01,1.60E-03,5.55E+01,2.92E-03
2.14E-02,2.40E-02,-1.98E-01,3.10E-03,2.85E+01,2.10E-03
3.33E-02,2.80E-02,8.40E-02,2.50E-03,9.60E+01,2.34E-03
1.22E-02,3.60E-02,9.38E-01,2.80E-03,2.85E+01,2.21E-03
2.73E-02,3.60E-02,-1.98E-01,1.00E-03,1.50E+02,3.70E-03
2.91E-02,4.00E-02,9.38E-01,3.10E-03,1.50E+02,2.10E-03
4.47E-02,1.60E-02,-9.72E-01,1.90E-03,4.20E+01,2.68E-03
1.38E-01,4.00E-03,8.40E-02,1.90E-03,8.25E+01,2.68E-03
1.29E-01,8.00E-03,-9.99E-01,2.50E-03,8.25E+01,2.34E-03
3.21E-02,3.20E-02,-9.99E-01,1.60E-03,8.25E+01,2.92E-03
2.21E-02,3.60E-02,-4.64E-01,1.30E-03,8.25E+01,3.24E-03
2.32E-01,0.00E+00,9.38E-01,1.30E-03,1.10E+02,3.24E-03
3.81E-02,2.40E-02,6.06E-01,3.70E-03,8.25E+01,1.92E-03
8.05E-02,1.20E-02,8.04E-01,2.50E-03,1.10E+02,2.34E-03
3.36E-02,3.20E-02,-8.67E-01,3.40E-03,8.25E+01,2.01E-03
2.46E-02,2.80E-02,-8.67E-01,2.50E-03,4.20E+01,2.34E-03
6.80E-02,8.00E-03,8.40E-02,2.50E-03,4.20E+01,2.34E-03
1.41E-01,4.00E-03,-6.93E-01,1.00E-03,1.10E+02,3.70E-03
3.58E-02,2.40E-02,8.04E-01,1.60E-03,1.10E+02,2.92E-03
6.04E-02,2.40E-02,8.04E-01,4.00E-03,1.50E+02,1.85E-03
7.21E-02,8.00E-03,8.04E-01,2.20E-03,5.55E+01,2.49E-03
6.67E-02,8.00E-03,8.04E-01,1.60E-03,5.55E+01,2.92E-03
1.87E-02,3.60E-02,-4.64E-01,1.30E-03,5.55E+01,3.24E-03
4.56E-02,2.00E-02,-9.72E-01,3.10E-03,5.55E+01,2.10E-03
2.46E-02,3.60E-02,-6.93E-01,3.40E-03,6.90E+01,2.01E-03
3.28E-02,4.00E-02,-6.93E-01,2.80E-03,1.37E+02,2.21E-03
8.28E-02,1.60E-02,8.04E-01,3.70E-03,1.37E+02,1.92E-03
1.10E-02,4.00E-02,8.04E-01,3.70E-03,2.85E+01,1.92E-03
6.44E-02,1.20E-02,8.04E-01,3.10E-03,6.90E+01,2.10E-03
4.25E-02,3.20E-02,-9.72E-01,1.60E-03,1.50E+02,2.92E-03
1.83E-01,4.00E-03,-8.67E-01,3.70E-03,6.90E+01,1.92E-03
4.51E-02,4.00E-02,-9.99E-01,3.10E-03,1.50E+02,2.10E-03
2.93E-02,4.00E-02,-4.64E-01,1.90E-03,1.50E+02,2.68E-03
4.58E-02,2.00E-02,8.04E-01,1.00E-03,1.50E+02,3.70E-03
1.85E-02,4.00E-02,-6.93E-01,3.10E-03,5.55E+01,2.10E-03
2.50E-02,2.80E-02,6.06E-01,4.00E-03,5.55E+01,1.85E-03
3.05E-02,3.20E-02,-6.93E-01,1.00E-03,1.23E+02,3.70E-03
3.05E-01,0.00E+00,8.40E-02,2.50E-03,9.60E+01,2.34E-03
5.00E-02,3.20E-02,-9.72E-01,3.70E-03,1.23E+02,1.92E-03
1.59E-01,8.00E-03,-8.67E-01,2.20E-03,1.50E+02,2.49E-03
